"","CODIGO","DCS_avg","IHD_avg","CVD_avg","DM_avg","int_dens","int_dens_2","slope_mean","NDVI_mean","lu_entropy_a","p_area_ind","sl_p_ind","POI_dens","POI_dens_2","pdens_2017","pdens_2_t","f_hig_SES"
"55","0505",75.9879837824227,38.5732721345816,6.39830508474576,6.39830508474576,234.285644389333,54889.7631669251,11.597553507487,0.330231279029442,0.745032987101439,29.7969771253508,2.13403587489464,39.02,1522.5604,33853.8788626038,1146.08511404385,0.0695958573192125
"56","0507",106.284145061838,69.0128228548945,11.1029411764706,16.6247129735936,58.3704665709911,3407.1113677152,11.0171162923177,0.395718509989574,0.648208410345123,0,0.560070125171371,29.165,850.597225,25527.402404068,651.648273499218,0
"57","0508",131.023460583359,67.1801816608094,19.1108072963699,25.363475803603,108.221224759893,11711.8334885313,14.4017062717014,0.390886873812289,0.717050282337734,0,4.38788090225643,12.016,144.384256,41383.5240258844,1712.59606080095,0
"58","0509",68.2992104639617,37.2506920231398,10.5242541802225,7.63368978176362,189.348072421499,35852.6925297371,11.8903239621954,0.386865502073054,0.871072066012105,3.47573624757167,7.31212741446747,25.359,643.078881,28278.88921834,799.695575423147,0
"59","0510",106.323982156855,60.7167129396377,17.6845047490283,0,57.1232616582629,3263.06702247837,13.7029479980469,0.515757741704424,0.847575556431759,14.075787361454,0.579289374595278,4.757,22.629049,15669.3173524182,245.527506290795,0
"60","0511",154.038569742857,84.9312404277697,19.6845212025984,13.6327282151129,141.316238680741,19970.279314872,11.4365104906487,0.211152874055456,0.79412607910283,0,4.38788090225643,23.536,553.943296,41228.1874133679,1699.76343739179,0
"61","0513",94.9876990286137,52.6664661046719,22.2023145390584,4.73188979138081,438.16024278897,191984.398360889,9.55448804582868,0.287378420774964,0.859782524809003,0,0,34.341,1179.304281,61024.7415748575,3724.01908427814,0
"62","0514",105.269175636368,44.6322302252101,25.9202234836598,14.5989034799746,209.092177233514,43719.5385802513,11.0262062766335,0.309381905580178,0.869997619442544,0,0,67.766,4592.230756,37240.3822428054,1386.84606959026,0
"63","0517",68.9393939393939,34.469696969697,34.469696969697,0,144.836635518513,20977.6509883227,4.01709414200044,0.28245681079466,0.667438878001455,37.940314000957,16.3784325453281,6.654,44.275716,1492.26952729378,2.22686834208961,0
"64","0519",76.021754289947,49.3469071866103,7.12264150943396,0,130.180979533053,16947.0874321851,7.29436508490115,0.225566796794337,0.635158782735005,43.3997064638945,8.73518103460937,12.273,150.626529,14061.9869270894,197.739476337633,0
"65","0601",107.306377019799,46.0933277690699,22.0609040419076,3.18086302910597,336.0868663016,112954.381700429,14.3345164173054,0.298641313348349,0.870409145857045,0,0,60.405,3648.764025,54427.2869760784,2962.32956757639,0
"66","0602",113.124265375353,36.8180827065139,29.3814415732455,15.2526799007487,261.604623127649,68436.9788417591,18.14376953125,0.316994578567977,0.744505616904,0,0,57.329,3286.614241,51919.7779922126,2695.66334676064,0
"67","0603",106.695690559384,46.2230790116223,24.9926177830504,8.10341387220983,233.80179696309,54663.2802631699,17.0927296514096,0.295180028798629,0.792288385472777,0,0,25.122,631.114884,48684.7537062704,2370.20524344021,0
